S.no,price,reviews,rating,accommodates,extpeop,savwish,min_stay,Conversion%,sentiment,secdep,cleanfee,weekfee,monthfee,bedroom,bathroom,beds,uprice,Esimated Revenue,average revenue per booking,City
93,120,11,4.5,5,1,174,7,6.32183908,4.146139914,0,1,1,1,1,1,1,120,9240,840,Miami
94,119,6,5,3,0,198,3,3.03030303,2.196112205,1,1,0,0,1,1,1,119,2142,357,Miami
95,115,8,5,6,1,117,7,6.837606838,3.922770123,1,1,1,1,1,1,2,115,6440,805,Miami
96,119,17,4.5,3,0,323,3,5.263157895,2.363003566,1,1,0,0,0,1,1,119,6069,357,Miami
97,149,3,4.5,2,0,30,5,10,1.790366871,1,1,1,1,1,1,1,149,2235,745,Miami
98,99,3,4.5,6,0,144,1,2.083333333,3.350850012,1,1,1,1,2,2,3,49.5,297,99,Miami
99,99,2,5,6,0,618,1,0.323624595,3.497741056,1,1,1,1,2,2,3,49.5,198,99,Miami
100,99,6,4.5,6,0,345,1,1.739130435,3.565418964,1,1,1,1,2,2,3,49.5,594,99,Miami
101,230,0,NA,5,0,25,8,0,NA,1,1,0,0,2,1,2,115,0,0,Miami
102,350,0,NA,6,0,5,4,0,NA,1,1,0,0,3,2,4,116.6666667,0,0,Miami
103,240,0,NA,7,0,0,4,0,NA,1,1,0,0,3,2,4,80,0,0,Miami
104,99,1,NA,2,0,33,5,3.03030303,0,1,1,1,1,1,2,1,99,495,495,Miami
105,258,4,5,4,0,75,8,5.333333333,1.439677548,1,0,0,0,2,1,2,129,8256,2064,Miami
106,150,0,NA,1,0,1,1,0,NA,1,1,1,0,1,1,1,150,0,0,Miami
107,195,5,4,4,0,97,8,5.154639175,1.396062109,1,0,0,1,2,1,2,97.5,7800,1560,Miami
108,125,13,4.5,2,0,218,8,5.963302752,1.964752582,1,1,1,1,1,1,2,125,13000,1000,Miami
109,128,1,NA,2,1,9,1,11.11111111,0.893990779,1,1,0,0,1,1,1,128,128,128,Miami
110,114,1,4.5,2,1,32,1,3.125,0.893990779,1,1,0,0,1,1,2,114,114,114,Miami
111,284,2,4,4,0,5,1,40,0.893990779,1,1,0,0,2,2,2,142,568,284,Miami
112,115,38,4.5,4,1,307,1,12.37785016,4.702572073,1,1,0,0,1,1,1,115,4370,115,Miami
113,130,17,4.5,6,1,193,1,8.808290155,4.62700979,1,1,0,0,2,2,3,65,2210,130,Miami
114,110,42,4.5,5,1,319,1,13.1661442,4.489397942,1,1,0,0,1,1,1,110,4620,110,Miami
115,125,3,4.5,3,0,54,5,5.555555556,1.626212037,1,1,0,0,1,1,1,125,1875,625,Miami
116,125,4,5,3,0,27,5,14.81481481,1.65923157,1,1,0,0,1,1,1,125,2500,625,Miami
117,129,1,5,10,0,19,9,5.263157895,1.523821683,1,1,0,0,3,2,10,43,1161,1161,Miami
118,239,5,3,10,1,88,5,5.681818182,1.810932667,1,1,0,0,1,1,6,239,5975,1195,Miami
119,500,0,NA,16,0,106,5,0,1.449955193,1,1,0,0,4,2,12,125,0,0,Miami
120,149,2,4,5,1,18,5,11.11111111,1.7462565,1,1,0,0,0,1,3,149,1490,745,Miami
121,199,4,4,5,0,142,5,2.816901408,1.810932667,1,1,0,0,0,1,3,199,3980,995,Miami
122,175,2,5,4,1,5,1,40,1.883485047,1,1,1,1,1,1,2,175,350,175,Miami
123,249,17,5,4,0,313,6,5.431309904,4.71165546,1,1,0,0,2,2,2,124.5,25398,1494,Miami
124,72,55,5,3,1,297,3,18.51851852,4.76171532,1,1,0,0,1,1,1,72,11880,216,Miami
125,250,35,5,10,1,739,1,4.736129905,3.853731957,0,1,1,1,2,2,2,125,8750,250,Miami
126,150,71,5,4,1,1168,3,6.078767123,4.492366407,1,1,0,0,2,1,3,75,31950,450,Miami
127,89,60,5,3,1,724,5,8.287292818,3.925739702,1,0,1,1,1,1,2,89,26700,445,Miami
128,99,18,4.5,6,0,191,1,9.42408377,4.079500313,1,1,1,1,2,1,3,49.5,1782,99,Miami
129,269,6,4.5,2,0,44,1,13.63636364,2.917440589,0,0,1,1,1,1,1,269,1614,269,Miami
130,125,11,5,4,1,113,5,9.734513274,4.364631169,1,1,0,0,1,1,2,125,6875,625,Miami
131,85,66,5,3,1,520,3,12.69230769,2.795540354,0,1,0,0,1,1,2,85,16830,255,Miami
132,130,0,NA,8,0,66,3,0,NA,0,0,0,0,2,2,4,65,0,0,Miami
133,210,0,NA,4,1,14,1,0,1.253637394,0,0,0,0,0,1,2,210,0,0,Miami
134,350,0,NA,5,0,2,8,0,NA,0,0,0,0,2,2,3,175,0,0,Miami
135,100,2,5,3,0,14,1,14.28571429,1.816976474,1,1,0,0,1,1,1,100,200,100,Miami
