,price,reviews,rating,accommodates,extpeop,savwish,min_stay,sentiment,secdep,cleanfee,weekfee,monthfee,bedroom,bathroom,beds
126,150,71,5,4,1,1168,3,4.492366407,1,1,0,0,2,1,3
127,89,60,5,3,1,724,5,3.925739702,1,0,1,1,1,1,2
128,99,18,4.5,6,0,191,1,4.079500313,1,1,1,1,2,1,3
129,269,6,4.5,2,0,44,1,2.917440589,0,0,1,1,1,1,1
130,125,11,5,4,1,113,5,4.364631169,1,1,0,0,1,1,2
131,85,66,5,3,1,520,3,2.795540354,0,1,0,0,1,1,2
132,130,0,NA,8,0,66,3,NA,0,0,0,0,2,2,4
133,210,0,NA,4,1,14,1,1.253637394,0,0,0,0,0,1,2
134,350,0,NA,5,0,2,8,NA,0,0,0,0,2,2,3
135,100,2,5,3,0,14,1,1.816976474,1,1,0,0,1,1,1
136,175,0,NA,2,0,2,5,1.453816388,0,1,1,1,0,1,1
137,100,49,4.5,3,0,480,1,2.298452506,1,1,0,1,1,1,2
138,150,10,4.5,4,1,118,1,2.855803992,1,1,0,0,2,1,2
139,80,44,4.5,2,0,176,3,2.480565126,0,1,0,0,1,1,2
140,49,11,5,2,0,59,1,4.840549581,0,1,0,0,1,1,1
141,260,22,4.5,5,1,232,5,3.125994398,0,1,0,1,2,2,2
142,35,3,4,3,1,19,1,2.601750611,0,0,0,1,1,2,3
143,75,16,5,2,0,121,3,2.936720446,0,0,1,0,1,1,1
144,95,11,5,2,0,62,1,4.673819892,0,0,0,0,1,1,1
145,42,70,4.5,4,1,148,1,2.607429486,0,0,1,0,1,1,1
146,70,10,5,2,0,52,1,2.735610967,0,0,0,0,1,1,1
147,119,47,5,3,0,799,5,3.601975655,1,1,0,0,1,1,2
148,119,8,4.5,4,1,123,1,1.92610244,1,1,1,1,1,1,2
149,90,40,5,8,1,384,3,2.316142973,1,1,1,1,1,1,3
150,89,36,4.5,3,0,347,7,1.956567747,1,0,0,0,1,1,1
151,99,7,5,3,0,96,8,3.824926375,0,1,1,1,0,1,3
152,599,5,4.5,7,0,84,5,3.003062267,1,1,0,1,2,2,3
153,319,1,4.5,4,0,11,5,2.964163363,1,1,0,1,1,1,2
154,299,2,5,5,0,23,5,3.096303857,1,1,0,1,1,1,3
155,499,2,2.5,6,0,28,5,2.834137712,1,1,0,1,2,2,3
156,599,9,4.5,10,0,173,5,3.363871691,1,1,0,1,3,2,4
157,649,1,4.5,12,0,27,5,2.964163363,1,1,0,1,4,2,6
158,169,20,4.5,6,0,239,5,3.578930616,1,1,0,1,1,1,3
159,449,5,4,6,0,51,5,3.403512282,1,1,0,1,2,2,3
160,799,6,5,12,0,135,5,2.907663066,1,1,0,1,3,3,3
161,299,10,5,5,0,65,5,3.473092466,1,1,0,1,1,1,2
162,353,5,5,5,0,46,5,3.484241967,1,1,0,1,1,1,2
163,399,4,5,8,0,60,5,3.339942313,1,1,0,1,2,2,2
164,100,6,4.5,2,1,82,5,2.540362695,1,1,0,1,1,1,1
165,169,4,4,3,0,38,5,2.501340681,1,1,1,0,1,1,1
166,60,9,5,2,0,111,5,2.710020031,0,0,1,1,0,1,1
167,150,0,NA,3,0,0,1,NA,0,0,1,1,2,1,0
168,350,0,NA,2,0,0,1,2.339617286,0,0,1,1,1,1,1
169,165,9,4.5,2,0,71,1,4.209775232,1,0,1,1,1,1,1
170,153,3,4.5,2,0,28,3,1.03757682,1,1,0,0,1,1,1
171,75,19,5,2,0,94,3,4.734074502,1,1,1,1,1,1,1
172,165,6,4,4,0,196,3,2.968334411,1,1,0,1,1,1,2
173,85,5,5,2,1,67,5,2.63958967,0,1,0,0,1,1,1
174,80,25,4,4,1,246,1,2.604237179,0,1,0,0,1,1,2
175,89,8,4,4,0,64,3,1.953777104,0,0,0,0,1,1,2
176,95,15,5,2,0,66,5,2.880174392,1,1,0,0,0,1,1
177,80,80,4.5,4,1,1364,1,1.960872003,1,1,0,0,0,1,2
178,120,11,4,4,1,222,1,0.944725909,0,0,0,0,1,0,3
179,120,25,4,4,1,425,1,1.057258933,0,0,0,0,1,1,3
180,90,2,4,2,0,41,5,1.433361988,1,1,0,0,0,1,1
181,79,15,4.5,2,0,137,5,2.598218568,1,1,0,0,0,1,1
182,72,10,5,2,0,31,1,2.866414718,0,0,0,0,0,1,1
